ID_cliente,cliente_vigente,genero,cliente>=65_anos,matrimonio,tiene_dependientes,#_meses_contrato,servicio_telefonico,suscripcion>1_linea,internet_internetservice,suscripcion_seguridad_linea,suscripcion_de_respaldo,suscripcion_proteccion,suscripcion_soporte,suscripcion_tv_cable,suscripcion_peliculas,tipo_contrato,factura_electronica,forma_pago,total_servicios_mes,total_pagado_cliente,Cuentas_Diarias
0002-orfbo,0,Female,0,1,1,9,1,0,Dsl,0,1,0,1,1,0,One year,1,Mailed check,65.6,593.3,19.776666666666664
0003-mknfe,0,Male,0,0,0,9,1,1,Dsl,0,0,0,0,0,1,Month-to-month,0,Mailed check,59.9,542.4,18.08
0004-tlhlj,1,Male,0,0,0,4,1,0,Fiber optic,0,0,1,0,0,0,Month-to-month,1,Electronic check,73.9,280.85,9.361666666666668
0011-igkff,1,Male,1,1,0,13,1,0,Fiber optic,0,1,1,0,1,1,Month-to-month,1,Electronic check,98.0,1237.85,41.26166666666666
0013-exchz,1,Female,1,1,0,3,1,0,Fiber optic,0,0,0,1,1,0,Month-to-month,1,Mailed check,83.9,267.4,8.913333333333332
0013-mhzwf,0,Female,0,0,1,9,1,0,Dsl,0,0,0,1,1,1,Month-to-month,1,Credit card (automatic),69.4,571.45,19.048333333333336
0013-smeoe,0,Female,1,1,0,71,1,0,Fiber optic,1,1,1,1,1,1,Two year,1,Bank transfer (automatic),109.7,7904.25,263.475
0014-bmaqu,0,Male,0,1,0,63,1,1,Fiber optic,1,0,0,1,0,0,Two year,1,Credit card (automatic),84.65,5377.8,179.26000000000002
0015-uocoj,0,Female,1,0,0,7,1,0,Dsl,1,0,0,0,0,0,Month-to-month,1,Electronic check,48.2,340.35,11.345
0016-qljis,0,Female,0,1,1,65,1,1,Dsl,1,1,1,1,1,1,Two year,1,Mailed check,90.45,5957.9,198.59666666666666
0017-dinoc,0,Male,0,0,0,54,0,0,Dsl,1,0,0,1,1,0,Two year,0,Credit card (automatic),45.2,2460.55,82.01833333333335
0017-iudmw,0,Female,0,1,1,72,1,1,Fiber optic,1,1,1,1,1,1,Two year,1,Credit card (automatic),116.8,8456.75,281.89166666666665
0018-nyrou,0,Female,0,1,0,5,1,0,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Electronic check,68.95,351.5,11.716666666666667
0019-efaep,0,Female,0,0,0,72,1,1,Fiber optic,1,1,1,0,1,0,Two year,1,Bank transfer (automatic),101.3,7261.25,242.04166666666666
0019-gfntw,0,Female,0,0,0,56,0,0,Dsl,1,1,1,1,0,0,Two year,0,Bank transfer (automatic),45.05,2560.1,85.33666666666666
0020-inwck,0,Female,0,1,1,71,1,1,Fiber optic,0,1,1,0,0,1,Two year,1,Credit card (automatic),95.75,6849.4,228.31333333333333
0020-jdnxp,0,Female,0,1,1,34,0,0,Dsl,1,0,1,1,1,1,One year,0,Mailed check,61.25,1993.2,66.44
0021-ikxgc,0,Female,1,0,0,1,1,1,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Electronic check,72.1,72.1,2.4033333333333333
0022-tcjci,1,Male,1,0,0,45,1,0,Dsl,1,0,1,0,0,1,One year,0,Credit card (automatic),62.7,2791.5,93.05
0023-hghwl,1,Male,1,0,0,1,0,0,Dsl,0,0,0,0,0,0,Month-to-month,1,Electronic check,25.1,25.1,0.8366666666666667
0023-uyupn,0,Female,1,1,0,50,1,1,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Electronic check,25.2,1306.3,43.54333333333333
0023-xuopt,1,Female,0,1,0,13,1,1,Fiber optic,0,1,1,0,1,0,Month-to-month,0,Electronic check,94.1,1215.6,40.519999999999996
0027-kwykw,0,Female,0,1,1,23,1,1,Fiber optic,0,0,0,0,1,0,Month-to-month,1,Electronic check,83.75,1849.95,61.665
0030-fnxpp,0,Female,0,0,0,3,1,0,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,19.85,57.2,1.9066666666666667
0031-pvlzi,1,Female,0,1,1,4,1,0,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,20.35,76.35,2.545
0032-pgels,1,Female,0,1,1,1,0,0,Dsl,1,0,0,0,0,0,Month-to-month,0,Bank transfer (automatic),30.5,30.5,1.0166666666666666
0036-ihmot,0,Female,0,1,1,55,1,0,Fiber optic,0,1,1,1,1,1,One year,1,Bank transfer (automatic),103.7,5656.75,188.55833333333334
0040-halcw,0,Male,0,1,1,54,1,0,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Credit card (automatic),20.4,1090.6,36.35333333333333
0042-jvwoj,0,Male,0,0,0,26,1,0,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,1,Bank transfer (automatic),19.6,471.85,15.728333333333333
0042-rlhyp,0,Female,0,1,1,69,1,0,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Bank transfer (automatic),19.7,1396.9,46.56333333333334
0048-lumls,0,Male,0,1,1,37,1,0,Fiber optic,0,0,0,0,1,1,One year,0,Credit card (automatic),91.2,3247.55,108.25166666666668
0048-pihnl,0,Female,0,1,0,49,1,0,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Bank transfer (automatic),20.45,900.9,30.029999999999998
0052-dckon,0,Male,0,1,0,66,1,1,Fiber optic,1,1,1,1,1,1,One year,0,Bank transfer (automatic),115.8,7942.15,264.73833333333334
0052-ynyot,0,Female,0,0,0,67,1,0,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Electronic check,20.55,1343.4,44.78
0056-epfbg,0,Male,0,1,1,20,0,0,Dsl,1,0,1,1,0,0,Two year,1,Credit card (automatic),39.4,825.4,27.513333333333332
0057-qbuqh,0,Female,0,0,1,43,1,1,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Electronic check,25.1,1070.15,35.67166666666667
0058-evzwm,0,Female,0,1,0,55,1,1,Fiber optic,1,0,0,0,1,0,Month-to-month,1,Bank transfer (automatic),89.8,4959.6,165.32000000000002
0060-fualy,0,Female,0,1,0,59,1,1,Fiber optic,1,1,0,0,1,0,Month-to-month,1,Electronic check,94.75,5597.65,186.5883333333333
0064-sudog,0,Female,0,1,1,12,1,0,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Bank transfer (automatic),20.3,224.5,7.483333333333333
0064-yijgf,0,Male,0,1,1,27,1,1,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Bank transfer (automatic),75.75,1929.0,64.3
0067-dkwbl,1,Male,1,0,0,2,1,0,Dsl,1,0,0,0,0,0,Month-to-month,1,Electronic check,49.25,91.1,3.0366666666666666
0068-figtf,0,Female,0,0,0,27,1,0,Dsl,0,1,1,1,1,1,One year,0,Mailed check,78.2,2078.95,69.29833333333333
0071-ndafp,0,Male,0,1,1,25,1,1,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Credit card (automatic),25.5,630.6,21.02
0074-hdkdg,0,Male,0,1,1,25,1,0,Dsl,1,1,1,0,0,0,One year,1,Bank transfer (automatic),61.6,1611.0,53.7
0076-lveps,0,Male,0,0,1,29,0,0,Dsl,1,1,1,1,0,0,Month-to-month,1,Mailed check,45.0,1242.45,41.415
0078-xzmht,0,Male,0,1,0,72,1,1,Dsl,0,1,1,1,1,1,Two year,1,Bank transfer (automatic),85.15,6316.2,210.54
0080-emyvy,0,Female,0,0,0,14,1,0,Dsl,0,1,0,0,0,0,One year,0,Credit card (automatic),51.45,727.85,24.261666666666667
0080-orozo,0,Female,0,0,0,35,1,0,Fiber optic,0,0,1,1,1,1,One year,1,Electronic check,99.25,3532.0,117.73333333333333
0082-ldzue,0,Male,0,0,0,1,1,0,Dsl,0,0,0,0,0,0,Month-to-month,1,Mailed check,44.3,44.3,1.4766666666666666
0082-oqiqy,0,Male,0,0,0,29,1,0,Fiber optic,0,0,0,1,1,1,Month-to-month,1,Electronic check,94.2,2607.6,86.92
0083-pivik,0,Male,0,0,0,64,1,1,Dsl,1,1,1,1,1,0,One year,0,Electronic check,81.25,5567.55,185.585
0089-iiqko,0,Female,0,1,1,39,1,1,Fiber optic,0,0,0,1,1,1,Month-to-month,1,Credit card (automatic),99.95,3767.4,125.58
0093-exyql,0,Female,1,0,0,40,1,0,Fiber optic,0,0,0,0,1,1,Month-to-month,1,Electronic check,91.55,3673.6,122.45333333333333
0093-xwzfy,1,Male,0,0,0,40,1,1,Fiber optic,0,1,1,0,1,1,Month-to-month,1,Credit card (automatic),104.5,4036.85,134.56166666666667
0094-oifmo,1,Female,1,0,0,11,1,0,Fiber optic,0,1,0,0,1,1,Month-to-month,1,Electronic check,95.0,1120.3,37.343333333333334
0096-bxers,0,Female,0,1,0,6,1,1,Dsl,0,0,0,0,0,0,Month-to-month,0,Electronic check,50.35,314.55,10.485000000000001
0096-fcpuf,0,Male,0,0,0,30,1,1,Dsl,1,0,0,0,0,1,Month-to-month,1,Mailed check,64.5,1888.45,62.94833333333334
0098-bowso,0,Male,0,0,0,27,1,0,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Electronic check,19.4,529.8,17.66
0100-duvfc,0,Male,1,1,0,70,1,1,Fiber optic,0,1,1,0,1,1,One year,1,Electronic check,104.8,7308.95,243.63166666666666
0103-csitq,0,Female,0,1,0,57,1,1,Fiber optic,0,1,1,1,1,1,One year,1,Bank transfer (automatic),109.4,6252.7,208.42333333333332
0104-ppxdv,0,Male,0,1,0,58,1,0,Dsl,0,0,1,0,0,0,One year,0,Credit card (automatic),50.3,2878.55,95.95166666666667
0106-ghrqr,0,Male,0,0,0,16,1,1,Dsl,0,1,1,0,0,1,Month-to-month,1,Bank transfer (automatic),71.4,1212.1,40.40333333333333
0106-ugrdo,0,Female,0,1,0,69,1,1,Fiber optic,1,1,1,1,1,1,Two year,1,Electronic check,116.0,8182.85,272.76166666666666
0107-weslm,1,Male,0,0,0,1,1,0,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Electronic check,19.85,19.85,0.6616666666666667
0107-yhina,1,Male,0,0,1,1,1,1,Fiber optic,0,0,1,0,1,1,Month-to-month,1,Electronic check,99.75,99.75,3.325
0111-klbqg,0,Male,1,1,1,32,1,0,Fiber optic,0,1,0,0,1,1,Month-to-month,1,Mailed check,93.95,2861.45,95.38166666666666
0112-qawrz,0,Male,0,1,1,16,1,1,Fiber optic,0,0,1,0,1,0,Month-to-month,1,Bank transfer (automatic),90.8,1442.2,48.07333333333334
0112-qwpnc,1,Male,0,1,0,49,1,1,Dsl,1,0,1,1,1,1,One year,0,Electronic check,84.35,4059.35,135.31166666666667
0114-igabw,0,Female,0,1,0,71,0,0,Dsl,0,1,1,1,1,1,Two year,0,Bank transfer (automatic),58.25,4145.9,138.19666666666666
0114-pegzz,0,Female,0,0,0,33,1,1,Fiber optic,0,1,1,0,1,1,Month-to-month,0,Electronic check,107.55,3645.5,121.51666666666667
0114-rsrrw,0,Female,0,1,0,10,1,0,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Bank transfer (automatic),19.95,187.75,6.258333333333334
0115-tfert,1,Male,0,1,0,21,1,1,Fiber optic,0,1,1,1,1,1,Month-to-month,1,Electronic check,111.2,2317.1,77.23666666666666
0117-lfrmw,1,Male,0,1,1,37,0,0,Dsl,1,1,1,0,0,0,Month-to-month,0,Bank transfer (automatic),40.2,1448.8,48.29333333333333
0118-jpnoy,0,Female,1,0,0,26,1,0,Fiber optic,1,0,0,0,1,0,Month-to-month,1,Credit card (automatic),85.8,2193.65,73.12166666666667
0121-snyrk,0,Male,0,0,0,50,0,0,Dsl,1,0,0,1,0,0,One year,1,Mailed check,35.4,1748.9,58.29666666666667
0122-oahpz,1,Female,0,0,0,7,1,1,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Electronic check,73.85,511.25,17.041666666666668
0123-crbrt,0,Female,0,1,1,61,1,1,Dsl,1,1,1,1,1,1,Two year,0,Mailed check,88.1,5526.75,184.225
0125-lzqxk,1,Male,0,0,0,15,1,0,Fiber optic,0,0,1,1,1,1,Month-to-month,1,Electronic check,101.35,1553.95,51.79833333333333
0128-mkwsg,0,Female,0,0,1,26,0,0,Dsl,1,0,0,1,0,1,Month-to-month,0,Mailed check,45.8,1147.0,38.233333333333334
0129-kptwj,0,Male,0,1,0,72,1,0,Fiber optic,0,0,1,0,1,1,Month-to-month,1,Electronic check,94.65,6747.35,224.9116666666667
0129-qmpdr,0,Male,0,1,1,44,1,0,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,1,Bank transfer (automatic),20.5,865.05,28.834999999999997
0130-sxoun,0,Male,0,0,0,66,1,1,Fiber optic,0,1,0,0,0,1,Month-to-month,0,Credit card (automatic),89.4,5976.9,199.23
0133-bmfzo,1,Female,0,0,0,2,1,0,Fiber optic,1,1,0,1,0,0,Month-to-month,1,Electronic check,86.25,181.65,6.055000000000001
0134-xwxce,0,Female,1,0,0,44,1,0,Dsl,0,0,1,1,1,1,One year,0,Bank transfer (automatic),74.85,3268.05,108.935
0135-nmxap,1,Female,0,0,0,12,1,1,Fiber optic,0,1,0,0,1,0,Month-to-month,1,Bank transfer (automatic),89.75,1052.4,35.080000000000005
0136-ifmyd,0,Male,1,1,0,69,1,1,Fiber optic,0,1,1,1,1,1,Two year,1,Electronic check,109.95,7634.25,254.475
0137-ocgab,1,Female,0,0,0,1,1,1,Fiber optic,0,1,0,0,0,0,Month-to-month,1,Mailed check,80.2,80.2,2.6733333333333333
0137-udeuo,1,Female,0,0,0,3,1,0,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,19.85,63.75,2.125
0139-ivfjg,0,Female,0,1,0,2,1,0,Fiber optic,1,1,0,0,1,0,Month-to-month,0,Electronic check,90.35,190.5,6.35
0141-yeays,0,Female,1,0,0,27,1,1,Fiber optic,0,1,1,0,0,0,Month-to-month,1,Bank transfer (automatic),86.45,2401.05,80.03500000000001
0142-gvysn,0,Male,0,0,0,26,1,0,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Electronic check,20.3,511.25,17.041666666666668
0147-eswwr,0,Female,1,1,0,39,1,1,Fiber optic,0,0,0,1,1,1,Month-to-month,1,Electronic check,101.25,3949.15,131.63833333333335
0148-dcdos,1,Male,0,0,0,25,1,1,Fiber optic,0,0,0,0,1,1,Month-to-month,1,Bank transfer (automatic),94.7,2362.1,78.73666666666666
0151-ontov,1,Female,0,0,0,1,1,0,Fiber optic,0,0,0,0,0,0,Month-to-month,0,Mailed check,70.9,70.9,2.3633333333333337
0156-fvpta,1,Male,0,1,0,22,1,0,Dsl,1,0,0,1,0,0,Month-to-month,1,Electronic check,54.2,1152.7,38.42333333333333
0164-apgrb,0,Female,0,0,0,72,1,1,Fiber optic,1,1,1,1,1,1,Two year,1,Electronic check,114.9,8496.7,283.22333333333336
0164-xairp,0,Female,0,0,0,24,1,0,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Bank transfer (automatic),19.55,470.2,15.673333333333334
0168-xzkbb,0,Female,0,1,0,19,1,1,Fiber optic,0,0,0,0,1,0,Month-to-month,1,Electronic check,86.85,1564.4,52.14666666666667
0174-qrvvy,0,Male,0,1,1,71,1,1,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Credit card (automatic),25.35,1847.55,61.585
0177-pxbat,0,Male,1,1,0,33,1,1,Fiber optic,1,0,1,1,1,1,Month-to-month,1,Bank transfer (automatic),109.9,3694.7,123.15666666666667
0178-ciikr,0,Female,0,0,0,3,1,0,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,19.95,58.0,1.9333333333333333
0178-szbho,0,Male,0,1,1,47,1,1,Fiber optic,0,1,0,0,1,0,Month-to-month,0,Electronic check,87.2,4017.45,133.915
0181-ritdd,0,Male,0,1,1,62,1,0,Fiber optic,1,1,1,1,1,1,Two year,0,Mailed check,108.15,6825.65,227.52166666666665
0186-caerr,0,Male,0,0,0,71,1,1,Fiber optic,1,1,1,1,1,1,One year,1,Bank transfer (automatic),116.3,8309.55,276.98499999999996
0187-qsxoe,0,Male,1,1,0,7,1,0,Fiber optic,0,0,0,0,1,1,Month-to-month,1,Electronic check,89.0,605.45,20.18166666666667
0187-wznab,0,Female,0,1,1,27,1,0,Fiber optic,1,0,0,0,0,0,Month-to-month,0,Mailed check,74.4,1972.35,65.74499999999999
0188-gwfle,0,Male,0,0,0,2,1,0,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,20.05,33.7,1.1233333333333335
0191-equuh,0,Female,0,0,1,25,0,0,Dsl,1,0,0,1,0,0,Two year,0,Bank transfer (automatic),35.05,844.45,28.148333333333333
0191-zhskz,0,Male,1,0,0,30,1,0,Dsl,1,1,0,0,1,1,Month-to-month,1,Electronic check,74.75,2111.3,70.37666666666668
0193-eszxp,1,Female,1,1,0,58,1,0,Fiber optic,1,1,0,1,1,1,One year,1,Credit card (automatic),105.5,6205.5,206.85
0195-iescp,1,Male,0,1,0,10,1,1,Fiber optic,0,0,0,0,0,1,Month-to-month,1,Electronic check,85.25,855.3,28.509999999999998
0196-jtuqi,0,Female,0,0,0,9,1,1,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Credit card (automatic),75.2,633.85,21.128333333333334
0196-vulgz,1,Female,1,1,0,6,1,1,Fiber optic,0,0,0,0,0,1,Month-to-month,1,Electronic check,84.35,474.9,15.83
0197-pnknk,0,Female,0,1,1,69,1,1,Fiber optic,1,0,1,0,0,0,One year,0,Bank transfer (automatic),84.45,5848.6,194.95333333333335
0201-mibol,0,Female,1,0,0,66,1,1,Fiber optic,1,0,0,0,1,1,Two year,1,Bank transfer (automatic),102.4,6471.85,215.72833333333335
0201-oamxr,1,Female,0,0,0,70,1,1,Fiber optic,1,1,1,1,1,1,One year,0,Credit card (automatic),115.55,8127.6,270.92
0203-hhyij,1,Male,0,0,0,25,1,1,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Bank transfer (automatic),25.3,676.35,22.545
0206-oyvoc,0,Female,0,1,1,46,1,0,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Mailed check,19.25,864.2,28.80666666666667
0206-tbwlc,0,Female,0,1,0,54,1,1,Fiber optic,1,1,1,1,1,1,One year,1,Mailed check,114.65,6049.5,201.65
0207-mdknv,1,Female,0,0,0,15,1,0,Fiber optic,1,0,1,1,1,1,Month-to-month,0,Electronic check,105.1,1582.75,52.75833333333333
